index,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
226,211.1,73.6136,18.197,,,,15/9-F-11 B
227,211.2,73.6136,16.996,,,,15/9-F-11 B
228,211.3,73.6136,15.496,,,,15/9-F-11 B
229,211.4,73.6136,13.898,,,,15/9-F-11 B
230,211.5,73.6136,13.097,,,,15/9-F-11 B
231,211.6,73.6136,12.1,,,,15/9-F-11 B
232,211.7,73.6136,12.096,,,,15/9-F-11 B
233,211.8,73.6136,10.601,,,,15/9-F-11 B
234,211.9,73.6136,10.9,,,,15/9-F-11 B
235,212.0,73.6136,10.898,,,,15/9-F-11 B
236,212.1,73.6136,10.301,,,,15/9-F-11 B
237,212.2,73.6136,10.701,,,,15/9-F-11 B
238,212.3,73.6136,11.2,,,,15/9-F-11 B
239,212.4,73.6136,11.199,,,,15/9-F-11 B
240,212.5,73.6136,10.801,,,,15/9-F-11 B
241,212.6,73.6136,11.2,,,,15/9-F-11 B
242,212.7,73.6136,11.099,,,,15/9-F-11 B
243,212.8,73.6136,10.701,,,,15/9-F-11 B
244,212.9,73.6136,11.097,,,,15/9-F-11 B
245,213.0,73.6136,9.999,,,,15/9-F-11 B
246,213.1,73.6136,9.799,,,,15/9-F-11 B
247,213.2,73.6136,9.6,,,,15/9-F-11 B
248,213.3,73.6136,9.501,,,,15/9-F-11 B
249,213.4,73.6136,9.8,,,,15/9-F-11 B
250,213.5,73.6136,9.9,,,,15/9-F-11 B
251,213.6,73.6136,9.9,,,,15/9-F-11 B
252,213.7,73.6136,9.898,,,,15/9-F-11 B
253,213.8,73.6136,9.198,,,,15/9-F-11 B
254,213.9,73.6136,8.399,,,,15/9-F-11 B
255,214.0,73.6136,8.001,,,,15/9-F-11 B
256,214.1,73.6136,8.399,,,,15/9-F-11 B
257,214.2,73.6136,8.199,,,,15/9-F-11 B
258,214.3,73.6136,7.8,,,,15/9-F-11 B
259,214.4,73.6136,7.899,,,,15/9-F-11 B
260,214.5,73.6136,7.702,,,,15/9-F-11 B
261,214.6,73.6136,8.303,,,,15/9-F-11 B
262,214.7,73.6136,9.301,,,,15/9-F-11 B
263,214.8,73.6136,9.702,,,,15/9-F-11 B
264,214.9,73.6136,10.299,,,,15/9-F-11 B
265,215.0,73.6136,9.901,,,,15/9-F-11 B
266,215.1,73.6136,10.097,,,,15/9-F-11 B
267,215.2,73.6136,9.098,,,,15/9-F-11 B
268,215.3,73.6136,8.504,,,,15/9-F-11 B
269,215.4,73.6136,9.803,,,,15/9-F-11 B
270,215.5,73.6136,10.8,,,,15/9-F-11 B
271,215.6,73.6136,10.7,,,,15/9-F-11 B
272,215.7,73.6136,10.599,,,,15/9-F-11 B
273,215.8,73.6136,10.399,,,,15/9-F-11 B
274,215.9,73.6136,10.199,,,,15/9-F-11 B
275,216.0,73.6136,9.799,,,,15/9-F-11 B
276,216.1,73.6136,9.599,,,,15/9-F-11 B
277,216.2,73.6136,9.299,,,,15/9-F-11 B
278,216.3,73.6136,8.799,,,,15/9-F-11 B
279,216.4,73.6136,8.599,,,,15/9-F-11 B
280,216.5,73.6136,8.399,,,,15/9-F-11 B
281,216.6,73.6136,8.2,,,,15/9-F-11 B
282,216.7,73.6136,8.301,,,,15/9-F-11 B
283,216.8,73.6136,8.5,,,,15/9-F-11 B
284,216.9,73.6136,8.397,,,,15/9-F-11 B
285,217.0,73.6136,7.299,,,,15/9-F-11 B
286,217.1,73.6136,6.898,,,,15/9-F-11 B
287,217.2,73.6136,6.301,,,,15/9-F-11 B
288,217.3,73.6136,6.498,,,,15/9-F-11 B
289,217.4,73.6136,5.601,,,,15/9-F-11 B
290,217.5,73.6136,5.802,,,,15/9-F-11 B
